article,summary1,summary2,label,data_label
"Manchester City boss Pep Guardiola says his first season in the Premier League has not been good enough but promised ""in the future I will be better"".  City are fourth in the league following defeat at Chelsea on Wednesday, all but ending hopes of a league title in the Catalan's debut campaign in England.  ""In future I will be better - definitely,"" said the former Barcelona and Bayern Munich coach.  ""This season has been a massive lesson for me.""  He added: ""We have a lot of beautiful things to fight for and to qualify for the Champions League will be a huge success. But we have to be honest with ourselves. We were not good enough to compete for the Premier League [title].""  Defeat at Stamford Bridge left City just four points ahead of Arsenal and Manchester United, both of whom have a game in hand.  With the FA Cup being City's only realistic chance of winning a trophy this term, it is likely to be the worst season of Guardiola's managerial career.  The 46-year-old has never gone a single season without winning a trophy - he has won the title in six out of seven attempts and his sides have always reached the last four of the Champions League.  Guardiola has also responded to questions about a row between City and Chelsea coaching staff at Stamford Bridge following the defeat on Wednesday night.  There have been conflicting claims about the precise nature of the row, but stewards were needed to calm the situation down after Chelsea's 2-1 win.  The incident centred around a disagreement between Chelsea fitness coach Paolo Bertelli and Manchester City masseur Mark Sertori, both of whom speak Italian, as the Premier League leaders celebrated their victory.  Guardiola said: ""We are so polite in our defeats and we are so polite when we win. When we win, normally we celebrate a little bit, then we go to the locker room.  Chelsea manager Antonio Conte was not involved and has played the incident down.  He said: ""Respect is the most important thing in football.""","Manchester City manager Pep Guardiola acknowledged that his first season in the Premier League wasn't good enough but promised to improve in the future. Despite finishing fourth in the league, he acknowledged the team's inability to compete for the title. He also addressed a recent incident involving Chelsea's coaching staff during a match.","Pep Guardiola acknowledged that his first season in the Premier League has been disappointing but vowed to improve in the future. City is currently fourth in the league after a defeat at Chelsea, ending their hopes of winning the title. He emphasized the importance of respect during matches and acknowledged the need for improved performance.",scu-gpt,xsum
"Controversial plans for 10 marine conservation zones have been withdrawn by a Welsh government minister.  Alun Davies told AMs they had received 7,000 responses to a consultation containing ""strongly held"" views.  He said he would now look at the 125 existing marine protected areas to see if further improvements could be made.  The Marine Conservation Society (MCS) described it as an ""embarrassing U-turn"" for the Welsh government, and has called for better protection of seas.  Creating the zones would mean a ban on fishing and anchoring in some areas and had brought opposition.  The Welsh Fishermen's Association said previously that existing conservation networks for Welsh waters are adequate.  The Welsh government proposed the zones last year with the backing of the Countryside Council of Wales and the Marine Conservation Society.  The minister for natural resources said the decision had been made after the thousands of responses to the consultation brought ""divergent and strongly held views"".  Mr Davies said to ""avoid any continuing uncertainty over the options presented in the 2012 consultation, I am also withdrawing all the proposed sites"".  His comments come after the findings were published of a task and finish team which reviewed the feedback.  Now, he will concentrate on the existing 125 Marine Protected Areas (MPAs) that cover 36% of Welsh seas to see if any changes can be made rather than creating additional zones.  ""We are now in a stronger position to assess our current contribution to the network's ecological coherence,"" he said.  ""I have, therefore, commissioned an assessment of our current MPAs to identify if there are any gaps and what the options might be to fill those gaps.  ""If any measures are required, I believe they should be simple, proportionate and fit for purpose.""  Dr Peter Richardson, biodiversity programme manager for MCS, said the Welsh government ""spent an awful lot of time and money and encouraged other people to put effort into this consultation response"".  He said: ""70% of the consultation responses were in favour of designating these sites and yet today the minister has announced he's scrapping the whole thing... bit of an embarrassing U-turn for the government I think.""  He added: ""I think there are plenty of people in the fishing industry... that understand that in order to get the best yields from the marine habitats on which they depend, they have to be managed properly.""","The Welsh government has withdrawn controversial plans for 10 marine conservation zones after receiving strong responses to a consultation, prompting calls for better protection of seas. Minister Alun Davies emphasized the importance of assessing the existing 125 marine areas to ensure their ecological consistency. This decision has sparked criticism from the Marine Conservation Society, highlighting the need for adequate protection.","Controversial plans for 10 marine conservation zones have been withdrawn by the Welsh government after receiving strong opinions from 7,000 responses. Minister Alun Davies emphasized the need to assess existing protected areas for improvements rather than creating new zones. The Marine Conservation Society criticized the decision as an ""embarrassment"" for the government.",gpt-scu,xsum
"Foreign observers of the UK's debate on its forthcoming referendum on whether to stay in the European Union may have noticed an awful lot of fuss about the views of a man called Boris Johnson - yes, that man on the zip wire.  Mr Johnson, the Mayor of London, announced on Sunday that he would be backing the campaign for Britain to leave the EU.  His intervention in the debate - made, as he termed it, with ""deafening eclat"" - was even said to have helped cause the pound to slide on the international money markets as traders thought it made the possibility of a so-called Brexit more likely.  He has arguably the highest profile of any of the governing Conservative Party except the Prime Minister David Cameron, but those outside the UK may be wondering: who is he, and is that actually his hair? Read on.  Profile: Boris Johnson  How could 'zip wire prat' become prime minister?  Read more about the UK's referendum on the EU  Alexander Boris de Pfeffel Johnson, to give him his full name, was born in New York and is descended from Turkish, French and German stock. He describes himself as a ""one-man melting pot"".  He first made a name for himself in journalism, including a stint as Brussels correspondent for the right-wing Daily Telegraph newspaper and editor of The Spectator magazine. His humorous persona led him to become a fixture on various television programmes, including the satirical BBC panel show Have I Got News For You.  He still has a lucrative and entertaining column in the Daily Telegraph, in which august forum he explained the reasons for his decision on the EU.  As a politician, he has been a Conservative member of parliament for two constituencies, Henley from 2001 to 2008 and then Uxbridge and South Ruislip from 2015.  Lest you think he was putting his feet up between parliamentary mandates, he is also currently serving the second of two terms as mayor of London, no mean feat in a city where the centre-left Labour Party has dominated in recent decades.  That's indicative of the position Mr Johnson has carved out for himself as one of the most charismatic politicians in the UK who has wide appeal beyond Conservative heartlands - polling has suggested that his stance on the EU referendum may sway some undecided voters.  Just look what happens when you type his name into Google.co.uk.  Not quite. He has previously courted controversy for his remarks about (among others) the populations of Liverpool, Portsmouth and Papua New Guinea, not to mention run-ins with his own party leadership and TV chef Jamie Oliver.  Last October he accidentally flattened a 10-year-old schoolboy at what was meant to be a friendly game of photo-op rugby in Japan.  But none of this seems to have affected his standing among the party faithful or the public at large. Even getting stuck on a zip-wire during the London Olympics in 2012, a sure-fire route to derision for any other politician, only enhanced his eccentric image.  Mr Johnson finally ended months of speculation about which side of the EU debate he would back in an immaculately impromptu media scrum outside his home in North London, having reportedly informed the prime minister of his decision earlier the same day.  He said that he had come to his decision as a result of deeply held convictions and ""after a huge amount of heartache"". His father Stanley, a former Conservative member of the European parliament, said that his son had performed a noble and potentially ""career-ending move"", ruining any chance of serving in Mr Cameron's cabinet.  But Mr Cameron has already said he won't run for another mandate when his current one ends in 2020. Some observers of British politics point out that even if the UK votes to remain in the EU, positioning himself in the ""Out"" camp won't do Mr Johnson any harm with grassroots Conservatives, many of who are Eurosceptic and will have the final say in choosing a new leader.  In this, some suggest, he is implementing his long-standing policy on cake: ""My policy on cake is pro having it and pro eating it.""  No, that's Donald Trump. Also a pioneer of unorthodox political hair, but they don't get on.  When Mr Trump commented that parts of London are ""so radicalised the police are afraid for their lives"", Mr Johnson retorted: ""The only reason I wouldn't go to some parts of New York is the real risk of meeting Donald Trump.""  No, I've confused you now by mentioning Donald Trump. Same hair though.  No, that's Julian Assange.","Boris Johnson, the Mayor of London, has announced his support for Brexit, prompting speculation that his views may influence the UK's referendum. Despite his controversial past, he remains a high-profile figure within the Conservative Party and has a strong appeal beyond his own region. His candidacy has raised questions about whether his views could influence voters beyond his constituency.","Boris Johnson, the Mayor of London, has announced his support for Britain to leave the EU, making him a prominent figure in the UK's referendum debate. Despite his humorous persona and past controversies, he maintains strong support among the Conservative Party and the public. His stance may sway undecided voters even if the UK votes to remain in the EU.",gpt-scu,xsum
"Three people were injured when a broken-down bus was hit by a lorry on the A34 in Oxfordshire.  Fifty people were on the First Great Western rail replacement service from Oxford to Didcot when it was hit at Drayton, at 00:30 GMT.  One of the three people taken to hospital sustained serious but non life-threatening injuries, police said.  The southbound carriageway has been reopened but investigations are continuing.  The remaining passengers, who did not require hospital treatment, were taken to Abingdon police station.  Passenger Rebecca Crow posted a picture of her injuries on Twitter and wrote: ""I was on the bus, it was insane. Very thankful for no fatalities; just a bust up face!""  The bus was a replacement for the 00:05 First Great Western service from Oxford to Didcot.  Bus passenger Adam Graves said on Twitter: ""One moment the bus power failed, a minute or 2 later the lorry hit us. Bus ended up part down the embankment. #a34""  He later told BBC News: ""It sort of jumped forward. There were people screaming inside.  ""Then you suddenly noticed you're falling out of your seat - everyone was flying everywhere.  ""Once that initial shock had passed people were quite calm.  ""A lot of people on the bus had been coming back from a gig in Oxford, that's where I'd been, that kept people calm as a few recognised each other.""  In a statement, a First Great Western spokesman said the firm was ""keen"" to offer support to all of the bus passengers and their families.  He said initial reports from its own contractor ""suggest the driver followed correct safety procedures"", but added police were investigating.  ""We are offering them any assistance we can to understand the full details of the incident,"" he said.  The A34 was shut between the Botley and Milton interchanges.  It had been due to reopen at 11:00 but was delayed due to difficulties in recovering the vehicles, police said.  Officers on site were having problems earlier with drivers ignoring the closure and driving through, according to BBC Radio Oxford travel reporter Sara Dumbell.  She said diversions had also led to lengthy traffic delays in the area.","Three people were injured after a broken-down bus was struck by a lorry on the A34 in Oxfordshire. The incident occurred around midnight, affecting 50 passengers who were on a train replacement service. Police are investigating the incident, which led to lengthy traffic delays.","Three people were injured when a broken-down bus was struck by a lorry on the A34 in Oxfordshire. The incident occurred at 00:30 GMT, affecting 50 passengers on a rail replacement service. Police are investigating the incident, which led to significant traffic delays.",gpt-scu,xsum
"In a sport beset by tiresome braggadocio, Ricky Burns seems like an impostor.  With three defeats in his previous six bouts, the Scottish boxer's career seemed to be on the wane.  But his power, timing and focus returned in a supremely confident display at Glasgow's Hydro on Saturday night as he clinched the vacant WBA World Super-Lightweight title - and entered the record books as the first Scot to win world titles at three weights.  Italy's Michele Di Rocco, at 34 a year older than Burns, hadn't lost a fight since September 2007.  He arrived with a record of 40 wins and a draw from 42 bouts. He left a lesser figure.  The referee deemed the man from Assisi to be in no state to continue in the eighth round, the result of a welter of blows to his head and body and made all the more unbearable by the hostile acoustic energy generated by 8,000 Scottish fans.  Surely, for Burns, this was time to shout about his record, the ideal moment to counter all those who had written him off and questioned the wisdom of him leaving trainer Billy Nelson two years ago to work with Tony Sim in Essex?  No.  Instead, the champion spoke of his disbelief at the ease of his victory, his gratitude that he was safe, of his thanks to promoter Eddie Hearn, manager Alex Morrison and coach Sim for believing in him, and of his desire to celebrate with a fast-food burger and 20 chicken nuggets.  ""When I got in the ring after the fight, I said, 'You've done it! You've done it!',"" reported a beaming Hearn at the post-fight media conference.  ""And you know what Ricky said? 'Can you get a picture with me and Michael Buffer [the legendary American boxing ring announcer]?'""  When he has time to reflect during a well-earned holiday, Burns will take immense satisfaction at being only the third British-born fighter, after Bob Fitzsimmons and Duke McKenzie, to be a three-weight world champion.  In Scottish terms, his achievements must mean that he is in the very top tier of boxing greats, comfortably mentioned in the same breath as former world champions Benny Lynch, Walter McGowan, Jackie Paterson, Ken Buchanan and Jim Watt, for example.  Burns' record stands at 40 wins from 46 bouts. Remarkably, 11 of those have been world title fights.  Buchanan's exploits in the United States add lustre to his legacy, but while Burns may never have fought someone like Roberto Duran, should Hearn manage to set up a bout against Cincinnati's Adrien Broner, the four-time world champion stripped of the WBA title because he could not make the weight, then Burns could achieve little more in the sport.  ""There are some big fights out there for me,"" said Burns.  ""I want to fight the top names. I will fight anybody. I do super-lightweight comfortably and lightweight is still an option. I would fight Terence Crawford again if it came down to it.  ""That's nearly two years I have been with Tony and things have just started clicking.  ""I had a bit of a bad run in the last year with stuff. Who'd have thought I'd be sitting here world champion again?""  Hearn said suitors could ""make all the offers they want, we'll listen"".  ""If they want to come with a sack-load of money for Ricky to defend his title against Broner in Vegas, I'm sure there are a few Scots who would like a trip there as well.""  At that point Burns quipped: ""I'd be one of them.""  The lovely thing is, you suspect Burns was speaking in the guise of a fan rather than that of a three-weight world champion who could enjoy a profitable title defence.","Ricky Burns became the first Scot to win world titles at three weights after successfully defending his WBA title in Glasgow. Despite recent defeats, he expressed confidence and gratitude for his victory, highlighting his commitment to fighting top names. His record shows 40 victories from 46 bouts, including 11 world titles.","Ricky Burns became the first Scot to win world titles at three weights with a confident victory against Italy's Michele Di Rocco. Despite recent losses, he expressed confidence and gratitude for his career turnaround. His record shows 40 wins from 46 bouts, including 11 world title fights.",gpt-scu,xsum
"Adult social care firms are struggling to hire, retain and train staff as a result of cuts to council budgets, a survey of senior officials suggests.  Councils in England are facing a £1.1bn shortfall this year, on top of ""almost unendurable"" cuts since 2010, the Association of Directors of Adult Social Services has warned.  Freezing care provider fees to save money was no long sustainable, it said.  Ministers say extra money will help NHS and social care services work together.  The survey, which was completed by 147 directors of adult social services for councils in England, suggests that funding reductions to social care budgets have totalled £4.6bn since 2010 - a 31% overall reduction.  Budgets for adult social care - which provides practical support to people due to illness, disability, old age or a low income - will reduce by a further £500m in cash terms this year, it said.  ""Taking the growth in numbers of older and disabled people into account, this means that an additional £1.1bn would be needed to provide the same level of service as last year,"" the report warned.  It said some councils had made savings in the past by freezing fees paid to providers, but care providers were now also facing financial problems.  Some companies - particularly those in southern England - are struggling to attract staff, amid increasing concern about the quality of care, it said.  ""What is at stake is the continuing capacity of adult social care to sustain services to those in greatest need,"" ADASS president Ray James said.  ""In virtually all our authorities, the number in need is growing, while the complexity of their needs is increasing.""  ADASS called for the government to ""protect essential care and support services to the most vulnerable members of our community"".  But a government spokesman said the survey ""ignores"" a commitment to invest £10bn in health services that are being ""joined up"" with social care, by 2020.  The BBC has launched an online guide to the care system for the over-65s. The ""care calculator"" covers residential care and the support provided in people's own homes, for tasks such as washing and dressing.  Users can submit their postcode and find out how much each service costs where they live in the UK.  There is also a dedicated BBC Cost of Care website, with news stories, analysis and video.  The spokesman said: ""Increasing budgets isn't the only solution. By working innovatively and joining up health and social care we can improve care and also save money.""  However, Councillor Izzi Seccombe, from the Local Government Association (LGA), said adult social care services were facing ""enormous pressures"" due to ""insufficient funding, growing demand and escalating costs"".  ""We have long warned that investing in the NHS whilst social care budgets are under continual pressure is simply a false economy.  ""It is social care services that support elderly and vulnerable people to maintain their independence, live in their own community and stay out of hospital longer,"" she added.  Caroline Abrahams, charity director at Age UK, said the idea of a further £1bn coming out of social care budgets was ""chilling"".  Sue Brown, vice chairman of the Care and Support Alliance - which represents 80 leading charities - said the figures ""confirm what we already know - that the care system is in worsening crisis"".  She said ""chronic underfunding"" of adult social care had seen ""dramatic year-on-year rationing of support, excluding hundreds of thousands of older and disabled people from the care they desperately need"".  Janet Morrison, chief executive of the charity Independent Age, said: ""This worrying survey shows how the frail and elderly in our society are being hit by year on year cutbacks to council services.""  ""It's vital now more than ever that we have an honest debate about the true costs of providing social care, not just health care,"" she added.","Adult social care firms in England are struggling to recruit and retain staff due to council budget cuts that could lead to a £1.1 billion shortfall this year, according to a survey of senior officials. Funding cuts since 2010 have led to a 31% overall reduction. Critics warn that this crisis threatens the quality of care for vulnerable individuals.","Councils in England are facing a £1.1 billion shortfall this year amid rising staff shortages due to budget cuts, according to a survey of senior officials. Experts warn that additional funds are needed to maintain services amid rising demand and rising costs.",scu-gpt,xsum
"Terminally ill actor and disability campaigner Brian Rix, 92, has said the law on assisted dying needs changing.  Mencap president Lord Rix urged the speaker of the House of Lords to push through legislation allowing those in his situation to be assisted to die.  He had previously opposed an assisted dying law, but said his illness has left him ""like a beached whale"" and in constant discomfort.  ""My position has changed,"" he wrote to Baroness D'Souza.  Stage and TV actor Lord Rix, who specialised in post-war ""Whitehall farce"" comedies, is receiving 24-hour care in a retirement home.  ""My position has changed. As a dying man, who has been dying now for several weeks, I am only too conscious that the laws of this country make it impossible for people like me to be helped on their way, even though the family is supportive of this position and everything that needs to be done has been dealt with.  ""Unhappily, my body seems to be constructed in such a way that it keeps me alive in great discomfort when all I want is to be allowed to slip into a sleep, peacefully, legally and without any threat to the medical or nursing profession.  ""I am sure there are many others like me who having finished with life wish their life to finish.  ""Only with a legal euthanasia Bill on the statute books will the many people who find themselves in the same situation as me be able to slip away peacefully in their sleep instead of dreading the night.""  The crossbench peer voted against an Assisted Dying Bill in 2006 because of concerns that people with learning disabilities might become the unwilling victims of euthanasia.  He has been a prominent campaigner for people with learning disabilities after his daughter was born with Down's syndrome.  He said his children were ""absolutely supportive"" of his decision and that he has ""wrapped up"" his affairs and was ""ready to go"" to ""put an end to this misery, pain and discomfort"".  ""I can't do anything but lie here thinking 'Oh Christ, why am I still here?' They won't let me die and that's all I want to do,"" he said.  He added the doctors and nurses ""do their best for me"" but that it was ""not good enough because what I want is to die, and the law stops them from helping me with that"".  He had discussed with his children the possibility of travelling to the Dignitas clinic in Switzerland, but felt it would be ""unfair to them to push them into a situation where they are helping me to die"".  Lord Rix said he had not been given an estimate from doctors as to how long he will live, adding: ""I think it's wrong that people like me are stranded like this.  ""I'm not looking for something that helps me only, I'm thinking of all the other people who must be in the same dreadful position.""  Follow us on Twitter @BBCNewsEnts, on Instagram at bbcnewsents, or email entertainment.news@bbc.co.uk.","Terminally ill actor Brian Rix, 92, has called for changes to assisted dying laws to allow those like him to end their lives peacefully. Despite his family's support, he feels the current laws prevent him from seeking help. He emphasizes the need for a legal euthanasia Bill to help others like him.","Lord Rix, 92, has called for changes to the law on assisted dying, expressing frustration that his illness keeps him in discomfort. Despite his family's support, he believes that current laws make it difficult for those like him to seek help. He emphasizes the need for a legal solution to ensure that others like him can end their lives peacefully.",scu-gpt,xsum
"Formula 1 driver Maria de Villota has lost her right eye following a test track crash.  She was hurt when the MR-01 race car she was driving hit a support truck at Duxford airfield in Cambridgeshire on Tuesday.  It was the first time the 32-year-old Spaniard had driven the car for the Oxfordshire-based Marussia team.  Inspectors from the Health and Safety Executive (HSE) visited the test track on Wednesday.  Marussia said surgeons at Addenbrooke's Hospital in Cambridge ""embarked on a lengthy procedure to address the serious head and facial injuries sustained by Maria in the accident"".  It said: ""The operation began yesterday afternoon and she was in theatre until this morning.  ""Maria remains in a critical but stable condition.""  John Booth, team principal of the Marussia F1 Team, said: ""Maria emerged from theatre at Addenbrooke's Hospital this morning after a lengthy operation to address the serious head and facial injuries she received in the accident at Duxford Airfield yesterday.  ""We are grateful for the medical attention that Maria has been receiving and her family would like to thank the Neurological and Plastics surgical teams.  ""However, it is with great sadness that I must report that, due to the injuries she sustained, Maria has lost her right eye.  ""Maria's care and the wellbeing of her family remain our priority at this time. Her family are at the hospital and we are doing everything possible to support them.""  De Villota sustained her injuries after her car ""suddenly accelerated"" into the back of the support lorry, according to witnesses.  BBC Radio Cambridgeshire presenter Chris Mann, who saw the accident, said: ""The top of her car and her helmet seemed to take the brunt of it.  ""She didn't move for about 15 minutes.""  He said De Villota had been driving at up to 200mph during the testing, but the car was travelling considerably slower at the time of the crash.  Mr Booth said: ""With regard to the accident, we have embarked on a very comprehensive analysis of what happened and this work continues for the moment.""  Messages of support have come in from the motor racing world, including ones from Ferrari driver and fellow Spaniard Fernando Alonso and Jenson Button.  Formula 1 driver and BBC analyst Jaime Alguersari said in his weekly column  : ""I was shocked to hear of the accident suffered by Maria de Villota. I know her and her family very well. I still don't know the cause of the accident. There are so many rumours but I want to wait to see what really happened.  ""It's terribly sad. Maria is a fantastic person, as are her brothers and her father Emilio, who was one of Spain's first F1 drivers.  ""She is a role model, especially for all the females who want to get into F1. So this is a very sad situation.  ""Thankfully, she is not in a life-threatening situation so we have to look at the positive side. We will see Maria again.""  Lewis Hamilton tweeted: ""Just heard about Maria's terrible accident at Duxford. I hope she pulls through. My thoughts and prayers are with her family at this time.""  The McLaren driver said later: ""I don't understand how it happened or how it was able to happen.""","Spanish Formula 1 driver Maria de Villota has lost her right eye after being injured in a crash while testing her new MR-01 vehicle. She is currently in a critical but stable condition in hospital. Experts are investigating the cause of the incident, which occurred while she was driving at high speeds.",Maria de Villota has lost her right eye after a test track crash while driving her MR-01 car at Duxford Airport. She is currently in critical but stable condition after undergoing extensive surgery to address serious head and facial injuries. The incident occurred while she was testing the car for the Marussia team.,gpt-scu,xsum
"A new law imposing restrictions on users of social media has come into effect in Russia.  It means bloggers with more than 3,000 daily readers must register with the mass media regulator, Roskomnadzor, and conform to the regulations that govern the country's larger media outlets.  Internet companies will also be required to allow Russian authorities access to users' information.  One human rights group called the move ""draconian"".  The law was approved by Russia's upper house of parliament in April.  It includes measures to ensure that bloggers cannot remain anonymous, and states that social networks must maintain six months of data on its users.  The information must be stored on servers based in Russian territory, so that government authorities can gain access.  Critics see it as the latest in a series of recent moves to curb internet freedom.  Hugh Williamson, of New York-based Human Rights Watch, has called the law ""another milestone in Russia's relentless crackdown on free expression"".  ""The internet is the last island of free expression in Russia and these draconian regulations are clearly aimed at putting it under government control,"" he added.  Opposition figures have used the internet to air their views, with some gaining millions of followers.  Commentators opposing Vladimir Putin often face restrictions in broadcast outlets and newspapers.  Analysis: Famil Ismailov, news editor, BBCRussian.com  Russian bloggers are bracing themselves for the moment when Russia's new ""information security law"" comes into force on 1 August. Some already share advice on how to use proxy servers in order to access social media sites that, in their view, are under threat of being closed.  It is hard to see how the law will be enforced. The servers for most of the popular social media platforms that many Russians use are based outside Russia.  Many popular bloggers are already looking for, and apparently finding, ways to ""cheat"" the feature that counts page visits and keep their daily unique visitor numbers just under 3000, or to make sure that the statistics are hidden altogether.  Anton Nossik, who is considered Russia's ""internet guru"", wrote in his LiveJournal blog that the new law didn't threaten individual bloggers directly, but provided legal grounds to block popular social networks like Facebook, Twitter, LiveJournal and Google.  ""The issue of banning all these platforms in Russia is a political one and it will be decided by only one person"", Mr Nossik wrote, with a thinly veiled reference to President Vladimir Putin.  Earlier in the year, Russia enacted a law that gave the government powers to block websites without explanation.  In March, Moscow blocked the blog of Mr Navalny, along with two news sites and a organisation run by Garry Kasparov - a vocal critic of the Russian government.  In a statement, Russia's prosecutor general's office said the blocks were imposed because of the sites' role in helping stage illegal protests.  Earlier this week, Twitter blocked access to an anti-Kremlin account that often publishes leaked government documents, following a request by Russia's federal communications agency Roskomnadzor.  For many years, Russia had relatively lax internet laws.  However Moscow has recently changed its tune, with Mr Putin branding the internet an ongoing ""CIA project"".  He also claimed that the popular Russian search engine Yandex was controlled by foreign intelligence.  Two years ago, Russia enacted a law enabling authorities to blacklist and force certain websites offline without a trial.  The government said the legislation was designed to protect children from harmful internet content, such as pro-suicide or pornography websites.  On Thursday, lawyers for US intelligence officer Edward Snowden said the whistleblower had filed for refugee status in Russia.  Mr Snowden received temporary shelter in Russia last year.  He had evaded US authorities after he leaked classified government documents revealing mass surveillance programmes undertaken by the NSA in the US and GCHQ in the UK.","A new law in Russia imposes restrictions on social media users, requiring bloggers to register with the media regulator and allowing authorities to access users' data. Critics see this as part of a broader crackdown on free expression, while the government claims it aims to protect children from harmful content. Critics warn that this law could lead to widespread censorship of dissent.","Russia has imposed restrictions on social media users, including requiring bloggers to register with the media regulator and allowing authorities to access users' data. Critics describe the law as a significant crackdown on free expression, highlighting that it aims to tighten government control over the internet. Critics suggest that the law may be difficult to enforce, as most websites are located outside Russia.",scu-gpt,xsum
"Western Sahara has welcomed Morocco's readmission to the African Union, 32 years after members refused to withdraw support for the territory's independence.  It was a ""good opportunity"" and ""a chance to work together,"" a top Western Sahara official told the BBC.  Morocco controls two-thirds of Western Sahara and sees it as part of its historic territory.  However some, including the UN, see Western Sahara as Africa's last colony.  Africa Live: More on this and other stories  Find out more about Western Sahara  A referendum was promised in 1991 but never carried out due to wrangling over who was eligible to vote.  Thousands of Sahrawi refugees still live in refugee camps in Algeria - some have been there for 40 years.  It is not clear what happens next but Western Sahara is hopeful that a committee set up by the AU will address the issues that both sides have raised.  Some AU delegates said that it would be easier to resolve the issue with Morocco inside the AU.  Sidi Mohammed, a Western Sahara official, told the BBC that Morocco's return to the AU means that it would now be expected to put ""in practice decisions taken by the AU with regard to a referendum in Western Sahara"".  Mr Mohammed dismissed the suggestion that Morocco would now seek to get the AU to change its position, saying that the no country could unilaterally change the AU fundamental agreement, saying it opposed colonisation.  In his speech at the AU summit, King Mohammed VI of Morocco said the readmission was not meant to divide the continental body.  No. Algeria has always been a big supporter of Western Sahara's Polisario Front and it had wanted Morocco to accept independence of the territory as a condition for readmission.  Zimbabwe and South Africa were also supportive of this stance but they were outnumbered by those who wanted Morocco back in the fold.  There is no specific provision in the AU charter that bars any country from joining it.  Morocco simply applied and the request was accepted by more than two-thirds of the 53 members.  Morocco has been involved in intense lobbying and applied in July last year to rejoin the continental body.  King Mohammed toured various African countries seeking support for the bid.  No. While culturally the country's identity aligns with Arab states, its economic interests increasingly lie in Africa.  This is a strategic move to continue exploring its interests in mining, construction, medical, insurance and banking sectors on the continent.  Moroccan troops went into Western Sahara after Spain withdrew in 1975.  Kitesurfing in a danger zone  Inside world's most remote film festival  Profile: African Union","Western Sahara has welcomed Morocco's readmission to the African Union after 32 years of support for its independence. Morocco, which controls 90% of the territory, aims to resolve its issues within the AU, which could lead to a referendum. The situation remains tense, with ongoing tensions between Morocco and the UN.","Western Sahara has welcomed Morocco's readmission to the African Union (AU) after 32 years of support for independence. Morocco holds two-thirds of Western Sahara and views it as its historic territory, while the UN sees it as Africa's last colony. Both sides are hopeful that a committee will address their concerns.",gpt-scu,xsum
